Pair,Horizon,Magnitude,Position,Threshold,Low,High
BTCUSD,6,2,8,0.3,0.40,0.64
BTCUSD,6,2,9,0.4,0.27,0.47
BTCUSD,6,2,10,0.5,0.25,0.46
BTCUSD,6,3,11,1.0,0.31,0.43
BTCUSD,6,3,12,1.5,0.29,0.42
BTCUSD,6,3,13,2.0,0.29,0.44
BTCUSD,6,3,14,2.5,0.26,0.47
BTCUSD,6,3,15,3.0,0.23,0.44
BTCUSD,7,1,1,0.01,0.39,0.58
BTCUSD,7,1,2,0.02,0.43,0.58
BTCUSD,7,1,3,0.03,0.35,0.61
BTCUSD,7,1,4,0.04,0.28,0.60
BTCUSD,7,1,5,0.05,0.39,0.65
BTCUSD,7,2,6,0.1,0.41,0.60
BTCUSD,7,2,7,0.2,0.32,0.59
BTCUSD,7,2,8,0.3,0.33,0.60
BTCUSD,7,2,9,0.4,0.39,0.57
BTCUSD,7,2,10,0.5,0.36,0.59
BTCUSD,7,3,11,1.0,0.26,0.46
BTCUSD,7,3,12,1.5,0.28,0.45
BTCUSD,7,3,13,2.0,0.25,0.44
BTCUSD,7,3,14,2.5,0.28,0.43
BTCUSD,7,3,15,3.0,0.24,0.42
USDMXN,1,1,1,0.01,0.67,0.99
USDMXN,1,1,2,0.02,0.73,0.98
USDMXN,1,1,3,0.03,0.43,0.70
USDMXN,1,1,4,0.04,0.44,0.65
USDMXN,1,1,5,0.05,0.42,0.67
USDMXN,1,2,6,0.1,0.35,0.67
USDMXN,1,2,7,0.2,0.38,0.70
USDMXN,1,2,8,0.3,0.32,0.64
USDMXN,1,2,9,0.4,0.39,0.63
USDMXN,1,2,10,0.5,0.35,0.66
USDMXN,1,3,11,1.0,0.38,0.73
USDMXN,2,1,1,0.01,0.51,0.82
USDMXN,2,1,2,0.02,0.42,0.85
USDMXN,2,1,3,0.03,0.46,0.81
USDMXN,2,1,4,0.04,0.52,0.84
USDMXN,2,1,5,0.05,0.33,0.59
USDMXN,2,2,6,0.1,0.30,0.55
USDMXN,2,2,7,0.2,0.35,0.59
USDMXN,2,2,8,0.3,0.29,0.56
USDMXN,2,2,9,0.4,0.34,0.57
USDMXN,2,2,10,0.5,0.33,0.58
USDMXN,2,3,11,1.0,0.40,0.58
