Pair,Horizon,Magnitude,Position,Threshold,Low,High
BTCUSD,4,2,8,0.3,0.23,0.47
BTCUSD,4,2,9,0.4,0.22,0.44
BTCUSD,4,2,10,0.5,0.26,0.42
BTCUSD,4,3,11,1.0,0.20,0.45
BTCUSD,4,3,12,1.5,0.21,0.48
BTCUSD,4,3,13,2.0,0.21,0.44
BTCUSD,4,3,14,2.5,0.25,0.46
BTCUSD,4,3,15,3.0,0.26,0.47
BTCUSD,5,1,1,0.01,0.38,0.69
BTCUSD,5,1,2,0.02,0.48,0.67
BTCUSD,5,1,3,0.03,0.38,0.68
BTCUSD,5,1,4,0.04,0.36,0.69
BTCUSD,5,1,5,0.05,0.33,0.66
BTCUSD,5,2,6,0.1,0.36,0.66
BTCUSD,5,2,7,0.2,0.24,0.50
BTCUSD,5,2,8,0.3,0.21,0.50
BTCUSD,5,2,9,0.4,0.17,0.46
BTCUSD,5,2,10,0.5,0.17,0.47
BTCUSD,5,3,11,1.0,0.21,0.48
BTCUSD,5,3,12,1.5,0.20,0.44
